month	prcp	t2m	u10m	v10m
1	0.42	0.98	0.91	0.93
2	0.39	0.97	0.90	0.91
3	0.32	0.97	0.87	0.89
4	0.25	0.96	0.86	0.87
5	0.25	0.96	0.82	0.84
6	0.27	0.96	0.80	0.82
7	0.22	0.97	0.83	0.85
8	0.23	0.97	0.80	0.80
9	0.24	0.97	0.82	0.82
10	0.34	0.97	0.89	0.91
11	0.37	0.98	0.92	0.94
12	0.39	0.98	0.91	0.94
